time,velocity,altitude
6.773,17.222,0
6.806,17.5,0
6.84,17.5,0
6.873,17.777,0
6.906,17.777,0
6.94,18.055,0
6.973,18.055,0
7.007,18.333,0
7.04,18.333,0
7.073,18.333,0
7.107,18.611,0
7.14,18.611,0
7.173,18.888,0
7.207,18.888,0
7.24,18.888,0
7.273,19.166,0
7.307,19.166,0
7.34,19.444,0
7.374,19.444,0
7.407,19.444,0
7.44,19.722,0
7.474,19.722,0
7.507,19.722,0
7.54,20,0
7.574,20,0
7.607,20.277,0
7.64,20.277,0
7.674,20.555,0
7.707,20.555,0
7.741,20.833,0
7.774,20.833,0
7.807,20.833,0
7.841,21.111,0
7.874,21.111,0
7.907,21.388,0
7.941,21.388,0.1
7.974,21.666,0.1
8.008,21.666,0.1
8.041,21.944,0.1
8.074,21.944,0.1
8.108,21.944,0.1
8.141,22.222,0.1
8.174,22.222,0.1
8.208,22.5,0.1
8.241,22.5,0.1
8.274,22.777,0.1
8.308,22.777,0.1
8.341,23.055,0.1
8.375,23.055,0.1
8.408,23.333,0.1
8.441,23.333,0.1
8.475,23.611,0.1
8.508,23.611,0.1
8.541,23.888,0.1
8.575,23.888,0.1
8.608,23.888,0.1
8.641,24.166,0.1
8.675,24.166,0.1
8.708,24.444,0.1
8.742,24.722,0.1
8.775,24.722,0.1
8.808,24.722,0.1
8.842,25,0.1
8.875,25,0.1
8.908,25.277,0.1
8.942,25.277,0.1
8.975,25.555,0.1
9.008,25.555,0.1
9.042,25.555,0.1
9.075,25.833,0.1
9.109,25.833,0.1
9.142,25.833,0.1
9.175,26.111,0.1
9.209,26.111,0.1
9.242,26.388,0.1
9.275,26.388,0.1
9.309,26.666,0.1
9.342,26.666,0.1
9.376,26.666,0.1
9.409,26.944,0.1
9.442,26.944,0.1
9.476,27.222,0.1
9.509,27.222,0.1
9.542,27.5,0.1
9.576,27.5,0.1
9.609,27.5,0.1
9.743,28.055,0.1
9.776,28.333,0.1
9.809,28.333,0.1
9.843,28.333,0.1
9.943,28.888,0.2
9.976,28.888,0.2
10.043,29.166,0.2
10.076,29.166,0.2
10.11,29.444,0.2
10.143,29.444,0.2
10.176,29.722,0.2
10.21,29.722,0.2
10.243,30,0.2
10.276,30,0.2
10.31,30.277,0.2
10.343,30.277,0.2
10.377,30.277,0.2
10.41,30.555,0.2
10.443,30.555,0.2
10.477,30.833,0.2
10.51,30.833,0.2
10.543,31.111,0.2
10.577,31.111,0.2
10.61,31.111,0.2
10.643,31.388,0.2
10.677,31.388,0.2
10.71,31.666,0.2
10.744,31.666,0.2
10.777,31.666,0.2
10.81,31.944,0.2
10.844,31.944,0.2
10.877,31.944,0.2
10.91,32.222,0.2
10.944,32.222,0.2
10.977,32.5,0.2
11.01,32.5,0.2
11.044,32.777,0.2
11.077,32.777,0.2
11.111,32.777,0.2
11.144,33.055,0.2
11.177,33.055,0.2
11.211,33.333,0.2
11.244,33.333,0.2
11.277,33.611,0.2
11.311,33.611,0.2
11.344,33.888,0.2
11.378,33.888,0.2
11.411,34.166,0.2
11.444,34.166,0.2
11.511,34.444,0.2
11.611,34.722,0.2
11.644,35,0.2
11.678,35,0.2
11.711,35.277,0.2
11.745,35.277,0.2
11.778,35.555,0.2
11.811,35.555,0.2
11.945,36.111,0.2
11.978,36.388,0.2
12.011,36.388,0.2
12.045,36.666,0.2
12.078,36.666,0.2
12.112,36.666,0.2
12.145,36.944,0.2
12.178,36.944,0.2
12.245,37.222,0.2
12.278,37.5,0.2
12.312,37.5,0.2
12.345,37.5,0.2
12.379,37.777,0.2
12.412,37.777,0.2
12.445,38.055,0.2
12.479,38.055,0.2
12.512,38.333,0.2
12.545,38.333,0.2
12.579,38.611,0.2
12.612,38.611,0.2
12.645,38.611,0.2
12.712,38.888,0.2
12.746,39.166,0.2
12.812,39.444,0.2
12.846,39.444,0.2
12.879,39.722,0.3
12.912,39.722,0.3
12.946,39.722,0.3
12.979,40,0.3
13.012,40,0.3
13.079,40.277,0.3
13.113,40.555,0.3
13.146,40.555,0.3
13.246,41.111,0.3
13.279,41.111,0.3
13.313,41.388,0.3
13.346,41.388,0.3
13.38,41.388,0.3
13.413,41.666,0.3
13.446,41.666,0.3
13.48,41.944,0.3
13.513,41.944,0.3
13.546,42.222,0.3
13.58,42.222,0.3
13.613,42.5,0.3
13.646,42.5,0.3
13.68,42.5,0.3
13.713,42.777,0.3
13.747,42.777,0.3
13.78,43.055,0.3
13.813,43.055,0.3
13.847,43.333,0.3
13.88,43.333,0.3
13.913,43.611,0.3
13.947,43.611,0.3
13.98,43.888,0.3
14.013,43.888,0.3
14.047,43.888,0.3
14.08,44.166,0.3
14.114,44.166,0.3
14.147,44.444,0.3
14.18,44.444,0.3
14.214,44.722,0.3
14.247,44.722,0.3
14.28,45,0.3
14.314,45,0.3
14.347,45.277,0.3
14.381,45.277,0.3
14.414,45.555,0.3
14.447,45.555,0.3
14.481,45.833,0.3
14.514,45.833,0.3
14.547,46.111,0.3
14.581,46.111,0.3
14.614,46.388,0.3
14.647,46.388,0.3
14.681,46.666,0.3
14.714,46.666,0.3
14.748,46.944,0.3
14.781,46.944,0.3
14.814,47.222,0.3
14.848,47.222,0.3
14.881,47.5,0.3
14.914,47.5,0.3
14.948,47.777,0.3
14.981,47.777,0.3
15.014,47.777,0.3
15.048,48.055,0.3
15.081,48.333,0.3
15.115,48.333,0.3
15.148,48.611,0.4
15.181,48.611,0.4
15.215,48.611,0.4
15.248,48.888,0.4
15.281,48.888,0.4
15.315,49.166,0.4
15.348,49.166,0.4
15.448,49.722,0.4
15.482,49.722,0.4
15.515,50,0.4
15.582,50.277,0.4
15.648,50.555,0.4
15.682,50.555,0.4
15.715,50.555,0.4
15.749,50.833,0.4
15.782,51.111,0.4
15.815,51.111,0.4
15.849,51.388,0.4
15.882,51.388,0.4
15.915,51.388,0.4
15.949,51.666,0.4
15.982,51.666,0.4
16.015,51.944,0.4
16.049,51.944,0.4
16.082,52.222,0.4
16.116,52.222,0.4
16.149,52.222,0.4
16.182,52.5,0.4
16.216,52.5,0.4
16.249,52.777,0.4
16.282,52.777,0.4
16.316,53.055,0.4
16.349,53.055,0.4
16.383,53.333,0.4
16.416,53.333,0.4
16.449,53.611,0.4
16.483,53.611,0.4
16.516,53.888,0.4
16.549,53.888,0.4
16.583,54.166,0.4
16.616,54.166,0.4
16.649,54.444,0.4
16.683,54.444,0.4
16.716,54.722,0.4
16.75,54.722,0.4
16.783,55,0.4
16.816,55,0.4
16.85,55.277,0.4
16.883,55.277,0.4
16.916,55.555,0.4
16.95,55.555,0.4
16.983,55.833,0.4
17.016,55.833,0.4
17.05,56.111,0.4
17.083,56.111,0.5
17.117,56.388,0.5
17.15,56.388,0.5
17.183,56.666,0.5
17.217,56.666,0.5
17.25,56.944,0.5
17.283,56.944,0.5
17.317,57.222,0.5
17.35,57.222,0.5
17.384,57.5,0.5
17.417,57.5,0.5
17.45,57.777,0.5
17.484,57.777,0.5
17.517,58.055,0.5
17.55,58.055,0.5
17.584,58.333,0.5
17.617,58.333,0.5
17.65,58.611,0.5
17.684,58.611,0.5
17.717,58.888,0.5
17.751,58.888,0.5
17.784,59.166,0.5
17.817,59.444,0.5
17.851,59.444,0.5
17.884,59.444,0.5
17.917,59.722,0.5
17.951,60,0.5
17.984,60,0.5
18.017,60.277,0.5
18.051,60.277,0.5
18.084,60.555,0.5
18.118,60.555,0.5
18.151,60.833,0.5
18.184,60.833,0.5
18.218,61.111,0.5
18.251,61.111,0.5
18.284,61.111,0.5
18.318,61.388,0.5
18.351,61.666,0.5
18.385,61.666,0.5
18.418,61.944,0.5
18.451,61.944,0.5
18.485,61.944,0.5
18.518,62.222,0.5
18.551,62.222,0.5
18.585,62.5,0.5
18.618,62.777,0.5
18.651,62.777,0.5
18.685,63.055,0.5
18.718,63.055,0.6
18.752,63.333,0.6
18.785,63.333,0.6
18.818,63.611,0.6
18.852,63.611,0.6
18.885,63.888,0.6
18.918,63.888,0.6
18.952,64.166,0.6
18.985,64.166,0.6
19.018,64.444,0.6
19.052,64.444,0.6
19.085,64.721,0.6
19.119,64.721,0.6
19.152,65,0.6
19.185,65,0.6
19.219,65.277,0.6
19.252,65.277,0.6
19.285,65.555,0.6
19.319,65.555,0.6
19.352,65.833,0.6
19.386,65.833,0.6
19.419,66.111,0.6
19.452,66.111,0.6
19.486,66.388,0.6
19.519,66.388,0.6
19.552,66.666,0.6
19.586,66.666,0.6
19.619,66.944,0.6
19.652,67.222,0.6
19.686,67.222,0.6
19.719,67.222,0.6
19.753,67.5,0.6
19.786,67.777,0.6
19.819,67.777,0.6
19.853,68.055,0.6
19.886,68.055,0.6
19.919,68.333,0.6
19.953,68.333,0.6
19.986,68.611,0.6
20.019,68.611,0.6
20.053,68.888,0.6
20.086,68.888,0.6
20.12,69.166,0.6
20.153,69.166,0.6
20.186,69.444,0.6
20.22,69.444,0.7
20.253,69.722,0.7
20.286,69.722,0.7
20.32,70,0.7
20.353,70.277,0.7
20.387,70.277,0.7
20.42,70.277,0.7
20.453,70.555,0.7
20.487,70.833,0.7
20.52,70.833,0.7
20.553,70.833,0.7
20.587,71.111,0.7
20.62,71.111,0.7
20.653,71.388,0.7
20.687,71.666,0.7
20.72,71.666,0.7
20.754,71.666,0.7
20.787,71.944,0.7
20.82,71.944,0.7
20.854,72.222,0.7
20.887,72.5,0.7
20.92,72.5,0.7
20.954,72.777,0.7
20.987,72.777,0.7
21.02,73.055,0.7
21.054,73.055,0.7
21.087,73.333,0.7
21.121,73.333,0.7
21.154,73.611,0.7
21.187,73.611,0.7
21.221,73.888,0.7
21.254,73.888,0.7
21.287,74.166,0.7
21.321,74.444,0.7
21.354,74.444,0.7
21.388,74.722,0.7
21.421,74.722,0.7
21.454,75,0.7
21.488,75,0.7
21.521,75.277,0.7
21.554,75.277,0.7
21.588,75.555,0.7
21.621,75.555,0.8
21.654,75.833,0.8
21.688,76.111,0.8
21.721,76.111,0.8
21.755,76.388,0.8
21.788,76.388,0.8
21.821,76.666,0.8
21.855,76.666,0.8
21.888,76.944,0.8
21.921,76.944,0.8
21.955,77.222,0.8
21.988,77.222,0.8
22.021,77.5,0.8
22.055,77.5,0.8
22.088,77.777,0.8
22.122,77.777,0.8
22.155,78.055,0.8
22.188,78.055,0.8
22.222,78.333,0.8
22.255,78.611,0.8
22.288,78.611,0.8
22.322,78.888,0.8
22.355,78.888,0.8
22.389,79.166,0.8
22.422,79.444,0.8
22.455,79.444,0.8
22.489,79.444,0.8
22.522,79.722,0.8
22.555,80,0.8
22.589,80,0.8
22.622,80.277,0.8
22.655,80.277,0.8
22.689,80.555,0.8
22.722,80.555,0.8
22.756,80.833,0.8
22.789,80.833,0.8
22.822,81.111,0.8
22.856,81.388,0.8
22.889,81.388,0.9
22.922,81.666,0.9
22.956,81.666,0.9
22.989,81.944,0.9
23.022,81.944,0.9
23.056,82.222,0.9
23.089,82.222,0.9
23.123,82.5,0.9
23.156,82.5,0.9
23.189,82.777,0.9
23.223,82.777,0.9
23.256,83.055,0.9
23.289,83.055,0.9
23.323,83.333,0.9
23.356,83.611,0.9
23.39,83.611,0.9
23.423,83.888,0.9
23.456,83.888,0.9
23.49,84.166,0.9
23.523,84.166,0.9
23.556,84.444,0.9
23.59,84.722,0.9
23.623,84.722,0.9
23.656,85,0.9
23.69,85,0.9
23.723,85.277,0.9
23.757,85.277,0.9
23.79,85.555,0.9
23.823,85.555,0.9
23.857,85.833,0.9
23.89,85.833,0.9
23.923,86.111,0.9
23.957,86.388,0.9
23.99,86.388,0.9
24.023,86.666,0.9
24.057,86.666,0.9
24.09,86.944,1
24.124,86.944,1
24.157,87.222,1
24.19,87.5,1
24.224,87.5,1
24.257,87.777,1
24.29,87.777,1
24.324,88.055,1
24.357,88.333,1
24.391,88.333,1
24.424,88.611,1
24.457,88.611,1
24.491,88.888,1
24.524,88.888,1
24.557,89.166,1
24.591,89.166,1
24.624,89.444,1
24.657,89.444,1
24.691,89.722,1
24.724,90,1
24.758,90,1
24.791,90.277,1
24.824,90.277,1
24.858,90.555,1
24.891,90.555,1
24.924,90.833,1
24.958,90.833,1
24.991,91.111,1
25.024,91.388,1
25.058,91.388,1
25.091,91.666,1
25.125,91.666,1
25.158,91.944,1
25.225,92.222,1.1
25.258,92.222,1.1
25.291,92.5,1.1
25.325,92.777,1.1
25.358,92.777,1.1
25.392,93.055,1.1
25.425,93.333,1.1
25.458,93.333,1.1
25.492,93.611,1.1
25.525,93.611,1.1
25.558,93.888,1.1
25.592,94.166,1.1
25.625,94.166,1.1
25.658,94.444,1.1
25.692,94.444,1.1
25.725,94.722,1.1
25.759,94.722,1.1
25.792,95,1.1
25.825,95,1.1
25.859,95.277,1.1
25.892,95.277,1.1
25.925,95.555,1.1
25.959,95.555,1.1
25.992,95.833,1.1
26.025,96.111,1.1
26.059,96.111,1.1
26.092,96.111,1.1
26.126,96.388,1.1
26.159,96.666,1.1
26.192,96.666,1.1
26.226,96.944,1.1
26.259,97.222,1.1
26.292,97.222,1.1
26.326,97.5,1.2
26.359,97.5,1.2
26.393,97.777,1.2
26.426,98.055,1.2
26.459,98.055,1.2
26.493,98.333,1.2
26.526,98.333,1.2
26.559,98.611,1.2
26.593,98.611,1.2
26.626,98.888,1.2
26.659,98.888,1.2
26.693,99.166,1.2
26.726,99.444,1.2
26.76,99.444,1.2
26.793,99.722,1.2
26.826,100,1.2
26.86,100,1.2
26.893,100.277,1.2
26.926,100.277,1.2
26.96,100.555,1.2
26.993,100.555,1.2
27.026,100.833,1.2
27.06,101.111,1.2
27.093,101.111,1.2
27.127,101.388,1.2
27.16,101.666,1.2
27.193,101.666,1.2
27.227,101.944,1.2
27.26,101.944,1.2
27.293,102.222,1.3
27.327,102.222,1.3
27.36,102.5,1.3
27.394,102.777,1.3
27.427,102.777,1.3
27.46,103.055,1.3
27.494,103.333,1.3
27.527,103.333,1.3
27.56,103.611,1.3
27.594,103.888,1.3
27.627,103.888,1.3
27.66,104.166,1.3
27.694,104.166,1.3
27.727,104.444,1.3
27.761,104.722,1.3
27.794,104.722,1.3
27.827,105,1.3
27.861,105,1.3
27.894,105.277,1.3
27.927,105.277,1.3
27.961,105.555,1.3
27.994,105.833,1.3
28.027,105.833,1.3
28.061,106.111,1.3
28.094,106.111,1.3
28.128,106.388,1.3
28.161,106.666,1.3
28.194,106.666,1.3
28.228,106.944,1.4
28.261,107.222,1.4
28.294,107.222,1.4
28.328,107.5,1.4
28.361,107.5,1.4
28.395,107.777,1.4
28.428,107.777,1.4
28.461,108.055,1.4
28.495,108.333,1.4
28.528,108.333,1.4
28.561,108.611,1.4
28.595,108.611,1.4
28.628,108.888,1.4
28.661,109.166,1.4
28.695,109.166,1.4
28.728,109.444,1.4
28.762,109.722,1.4
28.795,109.722,1.4
28.828,110,1.4
28.862,110,1.4
28.895,110.277,1.4
28.928,110.555,1.4
28.962,110.555,1.4
28.995,110.833,1.4
29.028,111.111,1.4
29.062,111.111,1.4
29.095,111.388,1.4
29.129,111.388,1.4
29.162,111.666,1.5
29.195,111.944,1.5
29.229,111.944,1.5
29.262,112.222,1.5
29.295,112.222,1.5
29.329,112.5,1.5
29.362,112.777,1.5
29.396,112.777,1.5
29.429,113.055,1.5
29.462,113.333,1.5
29.496,113.333,1.5
29.529,113.611,1.5
29.562,113.611,1.5
29.596,113.888,1.5
29.629,113.888,1.5
29.662,114.166,1.5
29.696,114.444,1.5
29.729,114.444,1.5
29.763,114.722,1.5
29.796,115,1.5
29.829,115,1.5
29.863,115.277,1.5
29.896,115.555,1.5
29.929,115.555,1.5
29.963,115.833,1.5
29.996,115.833,1.5
30.029,116.111,1.6
30.063,116.388,1.6
30.096,116.388,1.6
30.13,116.666,1.6
30.163,116.944,1.6
30.196,116.944,1.6
30.23,117.222,1.6
30.263,117.222,1.6
30.296,117.5,1.6
30.33,117.777,1.6
30.363,117.777,1.6
30.397,118.055,1.6
30.43,118.333,1.6
30.463,118.333,1.6
30.497,118.611,1.6
30.53,118.611,1.6
30.563,118.888,1.6
30.597,119.166,1.6
30.63,119.166,1.6
30.663,119.444,1.6
30.697,119.444,1.6
30.73,119.722,1.6
30.764,120,1.6
30.797,120,1.6
30.83,120.277,1.6
30.897,120.555,1.7
30.93,120.833,1.7
30.964,120.833,1.7
30.997,121.111,1.7
31.03,121.111,1.7
31.064,121.388,1.7
31.097,121.388,1.7
31.131,121.666,1.7
31.164,121.944,1.7
31.197,121.944,1.7
31.231,122.222,1.7
31.264,122.5,1.7
31.297,122.777,1.7
31.331,122.777,1.7
31.364,123.055,1.7
31.398,123.333,1.7
31.431,123.333,1.7
31.464,123.611,1.7
31.498,123.888,1.7
31.531,123.888,1.7
31.564,124.166,1.7
31.598,124.444,1.7
31.631,124.444,1.7
31.664,124.722,1.8
31.698,124.722,1.8
31.731,125,1.8
31.765,125.277,1.8
31.798,125.277,1.8
31.831,125.555,1.8
31.865,125.833,1.8
31.898,125.833,1.8
31.931,126.111,1.8
31.965,126.111,1.8
31.998,126.388,1.8
32.031,126.666,1.8
32.065,126.666,1.8
32.098,126.944,1.8
32.132,127.222,1.8
32.165,127.222,1.8
32.198,127.5,1.8
32.232,127.5,1.8
32.265,127.777,1.8
32.298,128.055,1.8
32.332,128.055,1.8
32.365,128.333,1.8
32.399,128.61,1.8
32.432,128.61,1.8
32.465,128.888,1.9
32.499,129.166,1.9
32.532,129.443,1.9
32.565,129.722,1.9
32.599,129.722,1.9
32.632,130,1.9
32.665,130.276,1.9
32.699,130.276,1.9
32.732,130.555,1.9
32.766,130.833,1.9
32.799,130.833,1.9
32.832,131.111,1.9
32.866,131.111,1.9
32.899,131.388,1.9
32.932,131.666,1.9
32.966,131.944,1.9
32.999,131.944,1.9
33.032,132.222,1.9
33.066,132.222,1.9
33.099,132.5,1.9
33.133,132.777,1.9
33.166,133.055,1.9
33.199,133.055,1.9
33.233,133.333,2
33.266,133.333,2
33.333,133.888,2
33.366,133.888,2
33.4,134.166,2
33.433,134.444,2
33.466,134.444,2
33.5,134.722,2
33.533,135,2
33.566,135.277,2
33.6,135.277,2
33.633,135.555,2
33.666,135.555,2
33.7,135.833,2
33.733,136.111,2
33.767,136.388,2
33.8,136.388,2
33.833,136.666,2
33.867,136.666,2
33.9,136.944,2
33.933,137.222,2
33.967,137.5,2.1
34,137.5,2.1
34.033,137.777,2.1
34.067,137.777,2.1
34.1,138.055,2.1
34.134,138.333,2.1
34.167,138.333,2.1
34.2,138.611,2.1
34.234,138.888,2.1
34.267,138.888,2.1
34.3,139.166,2.1
34.334,139.444,2.1
34.367,139.722,2.1
34.401,140,2.1
34.434,140,2.1
34.467,140.277,2.1
34.501,140.277,2.1
34.534,140.555,2.1
34.567,140.833,2.1
34.601,140.833,2.1
34.634,141.111,2.1
34.667,141.111,2.1
34.701,141.388,2.1
34.734,141.666,2.2
34.768,141.944,2.2
34.801,141.944,2.2
34.834,142.222,2.2
34.868,142.5,2.2
34.901,142.5,2.2
34.934,142.777,2.2
34.968,142.777,2.2
35.001,143.055,2.2
35.034,143.333,2.2
35.068,143.333,2.2
35.101,143.611,2.2
35.135,143.888,2.2
35.168,143.888,2.2
35.201,144.166,2.2
35.235,144.444,2.2
35.268,144.444,2.2
35.301,144.722,2.2
35.335,145,2.2
35.368,145.277,2.2
35.402,145.277,2.2
35.435,145.555,2.3
35.468,145.833,2.3
35.502,145.833,2.3
35.535,146.111,2.3
35.568,146.388,2.3
35.602,146.388,2.3
35.635,146.666,2.3
35.668,146.944,2.3
35.702,147.222,2.3
35.735,147.222,2.3
35.769,147.5,2.3
35.802,147.777,2.3
35.835,147.777,2.3
35.869,148.055,2.3
35.902,148.333,2.3
35.935,148.333,2.3
35.969,148.611,2.3
36.002,148.888,2.3
36.035,148.888,2.3
36.069,149.166,2.3
36.102,149.444,2.4
36.136,149.444,2.4
36.169,149.722,2.4
36.202,150,2.4
36.236,150,2.4
36.269,150.277,2.4
36.302,150.555,2.4
36.336,150.833,2.4
36.369,151.111,2.4
36.403,151.111,2.4
36.436,151.388,2.4
36.469,151.666,2.4
36.503,151.666,2.4
36.536,151.944,2.4
36.569,152.222,2.4
36.603,152.5,2.4
36.636,152.5,2.4
36.669,152.777,2.4
36.703,153.055,2.4
36.736,153.055,2.4
36.77,153.333,2.5
36.803,153.611,2.5
36.836,153.888,2.5
36.87,154.166,2.5
36.903,154.166,2.5
36.936,154.444,2.5
36.97,154.722,2.5
37.003,155,2.5
37.036,155,2.5
37.07,155.277,2.5
37.103,155.555,2.5
37.137,155.555,2.5
37.17,155.833,2.5
37.203,156.111,2.5
37.237,156.111,2.5
37.27,156.388,2.5
37.303,156.666,2.5
37.337,156.944,2.5
37.37,156.944,2.5
37.404,157.222,2.6
37.437,157.5,2.6
37.47,157.5,2.6
37.504,157.777,2.6
37.537,158.055,2.6
37.57,158.055,2.6
37.604,158.333,2.6
37.637,158.611,2.6
37.67,158.611,2.6
37.704,158.888,2.6
37.737,159.166,2.6
37.771,159.444,2.6
37.804,159.722,2.6
37.837,159.722,2.6
37.871,160,2.6
37.904,160.277,2.6
37.937,160.555,2.6
37.971,160.555,2.6
38.004,160.833,2.6
38.037,161.111,2.7
38.071,161.111,2.7
38.104,161.388,2.7
38.138,161.666,2.7
38.171,161.944,2.7
38.204,161.944,2.7
38.238,162.222,2.7
38.271,162.5,2.7
38.304,162.5,2.7
38.338,162.777,2.7
38.371,163.055,2.7
38.405,163.333,2.7
38.438,163.611,2.7
38.471,163.611,2.7
38.505,163.888,2.7
38.538,164.166,2.7
38.571,164.166,2.7
38.605,164.444,2.7
38.638,164.722,2.8
38.671,164.722,2.8
38.705,165,2.8
38.738,165.277,2.8
38.772,165.277,2.8
38.805,165.555,2.8
38.838,165.833,2.8
38.872,166.111,2.8
38.905,166.111,2.8
38.938,166.388,2.8
38.972,166.666,2.8
39.005,166.666,2.8
39.038,166.944,2.8
39.072,167.222,2.8
39.105,167.5,2.8
39.139,167.777,2.8
39.172,167.777,2.8
39.205,168.055,2.8
39.239,168.055,2.8
39.272,168.333,2.9
39.305,168.611,2.9
39.339,168.611,2.9
39.372,168.888,2.9
39.406,169.166,2.9
39.439,169.444,2.9
39.472,169.444,2.9
39.506,169.722,2.9
39.539,170,2.9
39.572,170.277,2.9
39.606,170.277,2.9
39.639,170.555,2.9
39.672,170.833,2.9
39.706,171.111,2.9
39.739,171.111,2.9
39.773,171.388,2.9
39.806,171.666,2.9
39.839,171.666,2.9
39.873,171.944,3
39.906,172.222,3
39.939,172.5,3
39.973,172.777,3
40.006,172.777,3
40.039,173.055,3
40.073,173.333,3
40.106,173.611,3
40.14,173.611,3
40.173,173.888,3
40.206,174.166,3
40.24,174.444,3
40.273,174.722,3
40.306,174.722,3
40.34,175,3
40.407,175.555,3
40.44,175.555,3.1
40.473,175.833,3.1
40.507,176.111,3.1
40.54,176.111,3.1
40.573,176.388,3.1
40.607,176.666,3.1
40.64,176.944,3.1
40.673,176.944,3.1
40.707,177.222,3.1
40.74,177.5,3.1
40.774,177.777,3.1
40.807,178.055,3.1
40.84,178.055,3.1
40.874,178.333,3.1
40.907,178.611,3.1
40.94,178.888,3.1
40.974,178.888,3.1
41.007,179.166,3.2
41.04,179.444,3.2
41.074,179.722,3.2
41.107,180,3.2
41.141,180,3.2
41.174,180.277,3.2
41.207,180.555,3.2
41.241,180.555,3.2
41.274,180.833,3.2
41.307,181.111,3.2
41.341,181.388,3.2
41.374,181.666,3.2
41.408,181.944,3.2
41.441,181.944,3.2
41.474,182.222,3.2
41.508,182.5,3.2
41.541,182.777,3.2
41.574,182.777,3.3
41.608,183.055,3.3
41.641,183.333,3.3
41.674,183.611,3.3
41.708,183.888,3.3
41.741,183.888,3.3
41.775,184.166,3.3
41.808,184.444,3.3
41.841,184.722,3.3
41.875,184.722,3.3
41.908,185,3.3
41.941,185.277,3.3
